topic_no	topic_zeta	topic_words
7	0.05657006700985071	['planète', 'espace', 'cemp', 'terre', 'planètes', 'beyle', 'silkies', 'vaisseau', 'système', 'orbite']
3	0.041588814289092474	['corps', 'yeux', 'visage', 'mains', 'tête', 'coup', 'jambes', 'fit', 'gauche', 'cheveux']
5	0.021922869952126348	['bateau', 'eau', 'navire', 'pont', 'poissons', 'vent', 'sable', 'bord', 'vagues', 'coque']
24	0.012115143690800866	['seagull', 'moonbird', 'oiseau', 'ailes', 'skiz', 'birdlip', 'oiseaux', 'baccarat', 'dragon', 'insecte']
30	0.011993527950143459	['kif', 'pyanfar', 'jik', 'sikkukkut', 'hakkikt', 'mahendo', 'dieux', 'chanur', 'hilfy', 'haral']
1	0.011391752600767073	['jirel', 'yeux', 'visage', 'corps', 'lumière', 'eau', 'cheveux', 'femme', 'tête', 'jambes']
21	0.01122497365425506	['mort', 'humains', 'âme', 'faut', 'vivre', 'chose', 'humanité', 'science', 'êtres', 'société']
85	0.007567046403666915	['cerveau', 'cerveaux', 'système', 'transplantation', 'intelligence', 'organique', 'synapses', 'anticorps', 'cellules', 'organes']
56	0.006817207220420423	['éditions', 'igr 10', 'igr', 'fiction', 'inédit', 'science fiction', 'marabout', '10', 'traduction française', 'collection']
77	0.005474982735633503	['hallingkar', 'poona', 'pd', 'daïren', 'mmi', 'uelil', 'félicien', 'planteur', 'jumbo', 'œufs œufs']
121	0.005412144145617093	['clones', 'valleroy', 'génétique', 'génération', 'walt', 'gène', 'simes', 'gènes', 'pno', 'bactérie']
156	0.004919312846046819	['virus', 'descolada', 'quara', 'pequeninos', 'virus descolada', 'lusitania', 'varelse', 'humains', 'tuer', 'pouvons']
18	0.004667243672651106	['bataillon', 'biên', 'diên biên', 'diên', 'viets', 'parachutistes', 'compagnie', 'lieutenant', 'légionnaires', 'pc']
35	0.004554628081649617	['porte', 'escalier', 'marches', 'ascenseur', 'baher', 'ouvrit', 'couloir', 'mur', 'corridor', 'immeuble']
162	0.004353050722569055	['link', 'ballon', 'touré', 'barge', 'corson', 'espace', 'étoiles', 'delten', 'cylindre', 'dimension']
82	0.003983427247891349	['manilo', 'corrio', 'viételli', 'hanse', 'ommach', 'desprats', 'halter', 'cité', 'ostrer', 'regarde']
84	0.0038235040110450357	['ingold', 'lohiro', 'sorcier', 'ténébreux', 'archimage', 'quo', 'bâton', 'vieil', 'lngold', 'sorciers']
229	0.003780257804575624	['planètes', 'étoiles', 'inédit', 'planète', 'étoile', 'galaxie', 'terre', 'guérin', 'années lumière', 'seigneur kampaku']
187	0.003663580774198722	['delten', 'vorst', 'plani', 'shuan', 'closter', 'kort', 'gitamorn', 'gitamorn suul', 'suul', 'fratri']
220	0.0035770883612598987	['quara', 'plikt', 'jakt', 'philotes', 'mirtin', 'novinha', 'mourir', 'propres', 'vaisseau', 'aiûa']
199	0.003540372949306153	['robot', 'jenkins', 'saïz', 'nicodème', 'félix', 'wazi', 'carnivore', 'couac', 'stimulateur', 'rhésus']
104	0.00345388053636733	['krug', 'watchman', 'krug krug', 'spaulding', 'androïdes', 'vargas', 'transmat', 'alphas', 'androïde', 'cuve']
160	0.00345388053636733	['aimline', 'seel', 'daym', 'ramane', 'gelleï', 'ezaelle', 'ramanes', 'parthène', 'uelil', 'scientes']
189	0.0033739189179441734	['congrès', 'ansibles', 'planète', 'congrès stellaire', 'stellaire', 'dieux', 'lusitania', 'vaisseau', 'configuration', 'ansible']
139	0.0032637726820829377	['ordinateur', 'écran', 'graceland', 'cassette', 'créature', 'sammel', 'machines', 'grandis', 'furst', 'ordinateurs']
208	0.003250711093051605	['moïse', 'bricoleur', 'curedent', 'josephson', 'puits', 'fourmilière', 'acromégalique', 'dundas', 'broncos', 'moïse sourit']
130	0.003147095651706035	['raphaële', 'oxan', 'cantor', 'vorst', 'donofrio', 'roditis', 'galettes', 'markusby', 'log', 'ethéré']
221	0.0031340340626747026	['science', 'machines', 'scientifique', 'citizen', 'scientifiques', 'antéchrist', 'heptangle', 'siècle', 'laboratoire', 'culturellement']
45	0.002946395563530562	['glace', 'vent', 'froid', 'glacé', 'flocons', 'vent glacé', 'tempête', 'nuit', 'woji', 'traces']
16	0.0028371265985744146	['arbres', 'arbre', 'forêt', 'fleurs', 'feuilles', 'branches', 'plantes', 'terre', 'racines', 'champignons']
169	0.0027644105879969976	['valleroy', 'klyd', 'médiateur', 'simes', 'zeor', 'hrel', 'sectuib', 'nashmar', 'tentacules', 'imil']
158	0.0027644105879969976	['roditis', 'santoliquido', 'persona', 'noyés', 'dybbouk', 'oncle', 'transplantation', 'persona oncle', 'donahy', 'hoptère']
132	0.002727695176043252	['cury', 'standish', 'cité', 'finch', 'leader', 'wil', 'steiner', 'dieux', 'envahisseur', 'lire']
91	0.0026738567356827596	['terrasse', 'cemp', 'jern', 'townsend', 'savait', 'pyaung', 'piège', 'affer', 'nollet', 'images']
99	0.0025873643227439366	['corps', 'âmâme', 'corps ouvriers', 'capitano', 'tenues', 'visages', 'jakt', 'vivants', 'âme', 'objets']
86	0.002557179705305858	['persval', 'clergyman', 'hellroy', 'thuriot', 'twern', 'parrish', 'garrec', 'devait', 'amis scientes', 'whit']
96	0.0025506489107901915	['akrèn', 'ennian', 'gogleth', 'nédan', 'taor', 'sieur', 'rojfessa', 'chaman', 'baltagui', 'dogmæl']
126	0.002500871909805114	['zorro nap', 'zorro', 'nap', 'calacan', 'tyran', 'faucon', 'sammel', 'torrez', 'syncope', 'réparaz']
