topic_no	topic_zeta	topic_words
180	0.0018610421836228288	['camier', 'parapluie', 'camier veux', 'camier camier', 'hélène', 'loin camier', 'omni', 'conaire', 'camier faut', 'agent']
240	0.0018610421836228288	['delahaye', 'martinov', 'hélène', 'gourdel', 'galerie', 'réparaz', 'rue amsterdam', 'dépôts consignations', 'consignations', 'caisse dépôts consignations']
73	0.0018325997416664304	['baroda', 'jath', 'jath baroda', 'moscou', 'chryse', 'vodka', 'tabasco', 'comlink', 'hallingkar', 'adichka']
342	0.0018295781427518935	['fouldroule', 'portières', 'usine', 'caisses', 'pincée poussière', 'pris ligne', 'régulier gouttes', 'soudure', 'casque', 'grises']
273	0.0017501626408459215	['édouard', 'cédric', 'arche', 'crainte mêlée', 'maison autriche', 'noé', 'consigne', 'sorte crainte', 'mordécaï', 'autriche']
251	0.0015913316370339775	['sandorf', 'bélonie', 'tentes', 'temudjin', 'vaches', 'stéphane', 'rhada', 'chevaux', 'forêt', 'blancheur']
24	0.0015869306125280216	['seagull', 'moonbird', 'oiseau', 'ailes', 'skiz', 'birdlip', 'oiseaux', 'baccarat', 'dragon', 'insecte']
64	0.0015479125743707457	['kg', 'gerfaut', 'pain', 'café', 'bière', 'repas', 'salade', 'jambon', 'kaltz', 'secrétaire etat']
395	0.0014954287149639037	['peintre', 'boîte', 'atelier', 'mère', 'boîte neuve', 'hirondelle', 'dessiner', 'devais', 'peindre', 'sentais']
404	0.0014954287149639037	['bradmer', 'sable', 'plage', 'aventurent', 'vagues', 'capitaine bradmer', 'barils', 'nuits', 'habits', 'coprah']
388	0.0014160132130579316	['picasso', 'doigts gourds', 'pluie', 'réfectoire', 'gourds', 'maîtresse époque', 'soucis soucis', 'chaussures propres', 'tores', 'vent tourné']
103	0.0014025473918083664	['bataillon', 'pc', 'viets', 'légionnaires', 'bigeard', 'artillerie', 'lieutenant', 'langlais', 'assaut', 'officiers']
212	0.0014010365923510983	['français', 'langue', 'latin', 'participe', 'chanteloup', 'graffigny', 'grec', 'gabrièle', 'verbes', 'moros']
332	0.0013365977111519595	['pélagie', 'abassa', '11 heures', 'sourate', 'baltimore', 'bishop', 'baltimore baltimore', '11', 'inspecteur académie', 'joué joué']
99	0.0012437163879964225	['corps', 'âmâme', 'corps ouvriers', 'capitano', 'tenues', 'visages', 'jakt', 'vivants', 'âme', 'objets']
125	0.0012272289678323207	['avion', 'pilote', 'réacteurs', 'atterrissage', 'appareil', 'vitesse', 'hile', 'parachute', 'kilomètres', 'moteurs']
19	0.001218295544954561	['desprats', 'cité', 'appartement', 'garlonne', 'séréna', 'ostrer', 'vraiment', 'wishman', 'demanda', 'regarde']
410	0.0012092307482109506	['comète', 'brionne', 'quéré', 'seigneur', 'charge écuyer', 'comète comète', 'délassement', 'khym', 'compagnonnage', 'isambour']
300	0.0012092307482109506	['red', 'noirs', 'blancs', 'viêt', 'ballard', 'noir', 'broederbond', 'blancs noirs', 'délégué', 'apartheid']
11	0.0012049610975708447	['cigarette', 'cigarettes', 'fumée', 'tabac', 'paquet', 'fume', 'fumer', 'alluma', 'dis', 'cigare']
393	0.0011298152463049787	['ravot', 'fourrures', 'atelier', 'gués', 'coqs', 'doutes doutes', 'badineau', 'atelier ravot', 'trash', 'aubel']
376	0.0011298152463049787	['mongougeot', 'maîtresse titre', 'edmée', 'amédée', 'césar', 'pompadour', 'éditions soir', 'céramiste', 'archiduc', 'ancien']
382	0.0011298152463049787	['abbé', 'bernerie', 'payable', 'pompadour', 'ventôse', 'daraïn', 'maurras', 'glazer', 'dépêche', '000']
152	0.0010668871645631082	['jourdaine', 'béni', 'oï', 'oï tîkî', 'tîkî', 'mamette', 'saurien', 'concourle', 'ibère', 'terango']
245	0.0010668871645631082	['totor', 'costermann', 'raphaële', 'herth', 'benitez', 'club', 'chinois', 'henekeys', 'tables', '252']
354	0.0010503997443990067	['bocager', 'sel', 'garçons', 'noms garçons', 'dépôt armes', 'copeau', 'ombres', 'faut attaquer', 'oiseaux', 'briancourt']
352	0.0010503997443990067	['alginate', 'pâte', 'goossens', 'chef laboratoire', 'outil', 'rats', 'catalyseur', 'marteau', 'modèle', 'flexibles']
107	0.0010369339231494417	['musiciens', 'baroda', 'musique', 'houwa', 'velasquo', 'chef piste', 'tables', 'sanguinetto', 'orchestre', 'harid']
109	0.0010369339231494417	['archim', 'gouvernement', 'politique', 'aragonès', 'senfout', 'général', 'edijha', 'parti', 'beyle', 'japcase']
278	0.0010189357035280714	['lauzerte', 'hélix', 'irène', 'mé', 'geneviève', 'azaïs', 'pirouettes', 'rené', 'pérouse', 'essex street']
350	0.0009709842424930346	['goudes', 'fonfrin', 'strasbourg', 'lanyon', 'escobille', 'damm', 'ombre image', 'têtes moineau', 'marché noir', 'lherbier']
96	0.0009260543803725342	['akrèn', 'ennian', 'gogleth', 'nédan', 'taor', 'sieur', 'rojfessa', 'chaman', 'baltagui', 'dogmæl']
269	0.0008915687405870625	['joëlle', 'régis', 'magnani', 'monter barque', 'moxo', 'raybaud', 'cantor', 'veux', 'combat zone', 'demandé pouvais']
304	0.0008436172795520257	['oc', 'zwickau', 'quim', 'fileclerk', 'schlomo', 'sotte', 'xvi siècle', 'connotation', 'péjoratif', 'saillir']
206	0.0008286406588451922	['cheval', 'skiath', 'soso', 'jument', 'appelle cheval', 'manilo', 'baulino', 'chevaux', 'marcheret', 'demné']
213	0.0008286406588451922	['arbres pères', 'disent', 'arbres', 'lumière', 'loin mers', 'pères', 'sable', 'tajo', 'branches', 'arbre']
39	0.000786732395639228	['président', 'rossinante', 'ministre', 'darnish', 'hulvey', 'gouverneur', 'présidente', 'politique', 'packer', 'busheïn']
188	0.0007806891978101553	['fœtus', 'embryon', 'sperme', 'mère', 'ommach', 'bébé', 'bébés', 'mères', 'ventre mère', 'naître']
226	0.0007806891978101553	['bruder', 'pensionnat', 'agrippale', 'enfance', 'cécile bruder', 'goulade', 'métro', 'rue', 'vieille', 'poules oies']
236	0.0007012736959041832	['huile', 'panne', 'bricoleur', 'pouvez ignorer', 'étrave', 'panne externe', 'moteur', 'station', 'eboe', 'pression']
90	0.0006878078746546182	['yudel', 'ptorn', 'crack', 'bross', 'weizmann', 'rooney', 'chapeau pardessus', 'aamma', 'allez', 'sadève']
328	0.0006847862757400815	['hastur', 'montray', 'terriens', 'hartani', 'comyn', 'tenebrosa', 'langue', 'langage', 'beckers', 'thendara']
355	0.0006847862757400815	['cantor', 'adichka', 'divisionnaire', 'divisionnaire coudrier', 'bénédicte', 'musique', 'coudrier', 'crapauds', 'colique', 'cornets']
261	0.0006533222348691464	['fortineau', 'romanov', 'méry', 'chanfond', 'brochette', 'stéphanie', 'keraij', 'rené', 'rodes', 'chanfond voix']
254	0.0006533222348691464	['cholly', 'breedlove', 'mutin mutant', 'bidule', 'dis', 'connaissons', 'mort lente', 'frédéric', 'luge', 'mutin']
400	0.0006368348147050447	['cilima', 'ribeauvillé', 'garçon', 'langlais', 'décrochage', 'skinner', 'sammel', 'normaliens', 'perlouze', 'effaçoir']
419	0.0006368348147050447	['boaras', 'meymuna', 'rêve', 'abassa', 'enveloppée manteau noir', 'calife', 'taël regardèrent', 'rouler rouler', 'rêve rêve', 'hommes patrouille']
402	0.0006368348147050447	['brubaker', 'michèle', 'dors', 'raser jambes', 'descends', 'heineken', 'daumier', 'air coup', 'raser', 'godillots']
420	0.0006368348147050447	['sodomite', 'swede', 'demandions', 'directeur adjoint', 'intolérance', 'demain demain', 'adjoint banque county', 'directeur adjoint banque', 'adjoint banque', 'banque county']
425	0.0006368348147050447	['ruthery', 'abassa', 'grivel', 'cadavres', 'roches brûlantes', 'camp ennemi', 'joiry', 'cratères', 'noémi', 'turcs']
327	0.0006053707738341095	['massom', 'ulm', 'ferrières', 'glucken', 'costermann', 'higenroth', 'révérend dinsmore', 'jov', 'chabrand', 'obscurantisme']
249	0.0005739067329631743	['roches', 'broken', 'rivière', 'construction', 'minéraux', 'bâtiments', 'jent', 'vaisseau stellaire', 'granité', 'edmée']
390	0.0005574193127990726	['posador', 'arquebuse', 'bejardy', 'baisée', 'appelait geneviève', 'habité quartier', 'quartier', 'dû retenir', 'geneviève', 'couture']
8	0.0005427054398239387	['mère', 'savait', 'père', 'ans', 'femme', 'aimait', 'jour', 'voulait', 'faisait', 'enfants']
294	0.0005259552719281375	['tokyo', 'twern', 'horc', 'djalaluddin', 'togaïl', 'helvin', 'treuffais', 'claymore', 'twern veux', 'merbok']
302	0.0005259552719281375	['alcool', 'nécrozones', 'eichbrunn', 'sébastien', 'jeb', 'commandant', 'faisait éloge', '8e escadrille', 'rajouter', 'adénosyne']
177	0.0005109786512213039	['choulon', 'hülle', 'méry', 'voix', 'mulé', 'grosse bête', 'brockmeier', 'briancourt', 'parut', 'sûr']
341	0.0005094678517640357	['spinelli', 'mellors', 'trésor', 'führer', 'contemple', 'spinelli regarde', 'conseil administration', 'lève mains', 'reprend', 'vieilles connaissances']
244	0.0004944912310572022	['thackeray', 'strychnine', 'boulettes', 'glacière', 'bardot', 'cru allait frapper', 'parenthèse', 'chasse eau', 'lavigie', 'cadeau']
195	0.0004944912310572022	['malaussène', 'corrençon', 'cercaire', 'dolgorouki', 'zabo', 'majesté', 'stojilkovicz', 'thérèse', 'flic', 'ponthard']
88	0.0004810254098076374	['guitare', 'musique', 'madé', 'piano', 'danse', 'jarisme', 'musiciens', 'orchestre', 'salieri', 'watch']
265	0.0004465397700221654	['carvil', 'grande terre', 'vextase', 'djemine', 'pirates', 'île', 'pointus', 'véra', 'soldats japonais', 'soldats']
272	0.0004465397700221654	['flocon', 'désincorporation', 'hawthorne', 'vieille', 'pension', 'conteur', 'rachat', 'adébenn', 'penn adébenn', 'dégoût yeux']
277	0.0004465397700221654	['émilie', 'photo', 'photos', 'skinner', 'oncle', 'plankaert', 'bayview', 'quince quince', 'pain epice', 'epice']
268	0.0004465397700221654	['viaduc', 'valjean', 'gare', 'périphérique', 'quartier', 'gerfaut', 'rue', 'sarazat', 'circulation', 'jov']
401	0.0004300523498580637	['feldman', 'ans signifiait', 'papier absorbant', 'faut constituer', 'capitaine port', 'répond', 'constituer dossier', 'bonblanc', 'régnerait', 'petits jeunes']
291	0.0003985883089871285	['baldridge', 'collège', 'pleurer fatigue', 'manqué chose', 'réunir affaires', '42 crew', 'crew', 'singerie', 'mère', '42']
337	0.0003985883089871285	['bledd', 'chapeau', 'candidat', 'moïse', 'serpendeau', 'curedent', 'josephson', 'clown', 'tübingen', 'plankaert']
317	0.0003985883089871285	['fintan', 'meroë', 'cready', 'maillot', 'haie', 'gâteux', 'fossette', 'fleuve', 'maillot mort', 'dents']
315	0.0003985883089871285	['quade', 'jumeaux', 'frère sœur', 'thayer', 'frère', 'gémellité', 'sœur', 'quade père', 'enquêtes génétiques', 'rouquines']
44	0.0003731674659452665	['dollars', 'veux', 'banque', 'millions', 'somme', 'schots', 'payer', 'demande', 'frais', 'leonards']
133	0.00036863506757346177	['route', 'kilomètres', 'arbres', 'autoroute', 'voiture', 'chauffeur', 'récifs', 'ennian', 'paysage', 'pont']
424	0.0003506368479520916	['saucisse', 'bricoleur', 'mulé', 'faucon glace', 'duralumin', 'chaussons course', 'fit mulé', 'nuage', 'troupeau', 'bronco']
417	0.0003506368479520916	['seigneur gueux', 'gueux', 'isambour', 'vavasseur', 'seigneur gueux antimus', 'gueux antimus', 'antimus', 'seigneur', 'ministre duroy', 'djent']
222	0.0003356602272452582	['swigert', 'pilote', 'zawech', 'haise', 'selmer', 'module', 'module commande', 'szellam', 'szellam ghur', 'ghur']
142	0.00032068360653842473	['fleurs', 'sénateur', 'régine', 'stauminaup', 'feuilles', 'noires', 'boutons mandarins', 'jaunes', 'mme matchett', 'piscine']
248	0.0003191728070811565	['tokyo', 'nagisa', 'vois yeux', 'burano', 'cantrell', 'jungle', 'aimaina', 'kimura', 'japonais', 'yasujiro']
172	0.0003191728070811565	['boamiens', 'boamien', 'ghéridanisol', 'lovdale', 'domologiste', 'maître witz', 'witz', 'possédés', 'monser', 'déase']
146	0.0002727321455033879	['film', 'pubs', 'weller', 'cinéma', 'producteur', 'cinématographique', 'chameau', 'tournage', 'publicité', 'bailor']
394	0.0002712213460461196	['brunebroucke', 'renée', 'helvin', 'loussa', 'chanson', 'babylone', 'demanda case', 'case', 'brenàn', 'cube']
391	0.0002712213460461196	['crumbs', 'bross', 'signore gambini', 'gambini', 'chocolaté', 'puppy', 'signore', 'chocolaté mulligan', 'décorateur', 'mulligan']
387	0.0002712213460461196	['léoni', 'tardiveau', 'aubertet', 'mugnier', 'boucheseiche', 'gourel', 'rageblanc', 'cuttoli', 'crémière', 'fajon']
214	0.0002562447253392861	['okawho', 'rédemption', 'edius', 'arbres', 'mont', 'vent', 'temen', 'incidentes', 'guettes agiles', 'guettes']
210	0.0002562447253392861	['fleurs', 'bohrt', 'fleuve noir', 'orchidée', 'pissenlit', 'cécile', 'portugais', 'mandahar', 'fouldroule', 'fleuve']
297	0.00023975730517518444	['gauchet', 'sern', 'dangeolet', 'bureau', 'provincial', 'bauchet', 'sernine', 'souffries', 'documents', 'sern gauchet']
275	0.00023975730517518444	['veau petits', 'veau petits pois', 'kirsch', 'procacci', 'café', 'arrachais', 'mme procacci', 'tss', 'retire doucement', 'flacon kirsch']
37	0.00022931308284015583	['clément', 'bejardy', 'sécateur', 'brossier', 'pouchet', 'type', 'tchik', 'vandoosler', 'vauquer', 'bonnot']
363	0.0002232698850110827	['félix', 'borg', 'gabey', 'ducreux', 'gérou', 'mutants', 'scientifiques', 'collègues', 'génétique', 'touche noire']
91	0.00019482744305468393	['terrasse', 'cemp', 'jern', 'townsend', 'savait', 'pyaung', 'piège', 'affer', 'nollet', 'images']
280	0.00016034180326921236	['cow', 'fayolle', 'vache', 'porc', 'cuirassier', 'pacotte', 'isel', 'moss', 'gogleth', 'dis']
408	0.00014385438310511063	['mugnier', 'siboni', 'amérique', 'loin amérique', 'léoni porte', 'fouille dossier', 'amérique loin', 'socialos', 'picabia', 'pieds trottoir']
416	0.00014385438310511063	['hervé', 'françoise', 'andigné', 'cadoudal', 'chouans', 'grisolles', 'hozier', 'rouen', 'royalistes', 'charrettes']
403	6.443888119913861e-05	['soldat', 'stéphan', 'armée', 'step', 'insigne', 'lieutenant', 'voir note', 'flamme réchaud', 'tire bouffée', 'démissionnez']
409	6.443888119913861e-05	['swwfw', 'gratinée', 'décati', 'rémy', 'valleroy', 'aimline', 'keîsey', 'klyd', 'médiateur', 'oligarche']
115	5.097305994957368e-05	['bascus', 'madu', 'bailea', 'flic', 'police', 'vagabond', 'mellors', 'haymann', 'policier', 'cruiser']
218	4.9462260492305144e-05	['sbire', 'noséné', 'télévision', 'télé', 'science noire', 'miramion', 'médias', 'pinocchio', 'science', 'étranges créatures']
194	4.9462260492305144e-05	['gazol', 'méry', 'porte wagon', 'profitendieu', 'quai', 'zoé', 'caloub', 'fredrika', 'phébé', 'consul']
314	3.2974840328203465e-05	['abdiquai', 'cornouailles', 'père', 'mère', 'femme camarade', 'rivelli', 'embrassé femme', 'attachée cou', 'fitzhoward', 'iseut']
331	3.2974840328203465e-05	['jago', 'thackeray', 'cribb', 'orlo', 'suchman', 'radstock', 'chanfond', 'remettent', 'commanditaire', 'cabriolet']
330	3.2974840328203465e-05	['blues', 'musique', 'alladale', 'clarinette', 'jouait', 'haguenier', 'chanson', 'sex pistols', 'pistols', 'trompette']
324	3.2974840328203465e-05	['carrier', 'selmer', 'tomek', 'os seiche', 'fender', 'seiche', 'jonis', 'orchestre', 'weller', 'rossinante']
122	3.021598914536641e-06	['jambon', 'angèle', 'pain', 'raphaël', 'légumes', 'affaire rèche', 'buizeness', 'steack poivre', 'mimizan', 'frites']
200	-2.9953241413666933e-05	['pilon', 'scellés', 'labatti', 'banque', 'quimby', 'mourier', 'banques', 'slater', 'percepteur', 'chèque']
141	-4.49298621205004e-05	['centenier', 'tombaugh', 'épée', 'avancement', 'attendais', 'forestier', 'béatrix', 'mort sépare', 'hegel', 'grayswandir']
298	-4.644066157776861e-05	['monkey', 'singe', 'godall', 'ziggy', 'dr zujaran', 'zujaran', 'singes', 'scuffles', 'casaubon', 'aw']
301	-4.644066157776861e-05	['émile', 'viard', 'tozzi', 'tchad', 'rouvre', 'stratton', 'missouri', 'mme rouvre', 'liverion', 'restez responsable']
238	-7.790470244870376e-05	['poupée', 'poupées', 'mauffat', 'greublis', 'libellule', 'jouets', 'alêne', 'titou', 'poupée poupée', 'gosses']
239	-7.790470244870376e-05	['mme albici', 'knackbusch', 'terre sautées', 'pommes terre sautées', 'albici', 'meubles', 'mcgowan', 'chambre', 'sautées', 'confrère']
243	-7.790470244870376e-05	['broehm', 'innid', 'copeau', 'raphaële', 'innid brennen', 'brennen', 'viard', 'multimate', 'système noétique', 'feintes']
159	-9.288132315553722e-05	['englemont', 'gisèle', 'table orientation', 'chambre', 'garage face', 'avenue', 'kirschner', 'cartaud', 'baden', 'valise']
356	-9.439212261280543e-05	['daily', 'welby', 'monkey', 'justiciers', 'daily mégaphone', 'mégaphone', 'thory', 'presse', 'conditionnel', 'journalistes']
135	-0.00012434536402647248	['bross', 'battysens', 'weller', 'szimak', 'carenheim', 'népo', 'charboll', 'solnès', 'citizen', 'vinkler']
260	-0.0001258561634837407	['achron', 'argyropoulos', 'chauve', 'corson', 'assommait', 'foran', 'zôl', 'errull', 'zôls', 'guerres']
93	-0.00014083278419057405	['regarda', 'fit', 'campement', 'ciré', 'répondit', 'chandail', 'pistolet', 'demanda', 'fileni', 'poncho']
411	-0.00014234358364784237	['shaquille', 'poisons', 'phébé', 'aggloméréville', 'soupe', 'anédrine', 'laney', 'bix', 'prescrivent', 'bix phébé']
418	-0.00014234358364784237	['turcotte', 'lescadre', 'commodités', 'sernine', 'skiath', 'sieur eugène', 'fraya chemin', 'inspecteur suivit', 'reprit bernold', 'port']
140	-0.00015732020435467583	['sss', 'nodles', 'système solaire', 'solaire', 'mec', 'ver sable', 'système', 'ver', 'sphère bureau', 'incultes']
