topic_no	topic_zeta	topic_words
28	0.021991877751263544	['commissaire', 'dancourt', 'inspecteur', 'police', 'fassio', 'policier', 'enquête', 'boulle', 'dab', 'shérif']
11	0.02030347270598349	['cigarette', 'cigarettes', 'fumée', 'tabac', 'paquet', 'fume', 'fumer', 'alluma', 'dis', 'cigare']
9	0.018017385762350117	['voiture', 'route', 'chauffeur', 'camion', 'volant', 'voitures', 'véhicule', 'conducteur', 'arrière', 'portière']
4	0.016799641316752878	['docteur', 'médecin', 'dr', 'infirmière', 'clinique', 'régine', 'malade', 'hôpital', 'lherbier', 'médecins']
13	0.013975010745675791	['bureau', 'police', 'femme', 'heures', 'porte', 'commissaire', 'téléphone', 'demanda', 'secrétaire', 'lettre']
53	0.012956913545480148	['meurtre', 'assassin', 'dover bowers', 'bowers', 'meurtrier', 'dover', 'crime', 'thayer', 'criminel', 'baumann']
34	0.010990751308008122	['avocat', 'procès', 'jurés', 'tribunal', 'président', 'magistrat', 'affaire', 'audience', 'step', 'témoin']
37	0.0098514132416369	['clément', 'bejardy', 'sécateur', 'brossier', 'pouchet', 'type', 'tchik', 'vandoosler', 'vauquer', 'bonnot']
6	0.007826779706235458	['chiens', 'kehlweiler', 'akrèn', 'animal', 'porte', 'tête', 'bête', 'sukie', 'yeux', 'dogtinder']
10	0.007263039321762588	['murs', 'château', 'fenêtres', 'mur', 'étage', 'porte', 'maison', 'rue', 'entrée', 'maisons']
38	0.006992692940461546	['bouteille', 'sukie', 'verre', 'bière', 'bouteilles', 'tooley', 'verres', 'boire', 'alcool', 'table']
75	0.00630556255465473	['finch', 'quince', 'tibbett', 'goodman', 'smeed', 'macey', 'hamstone', 'inspecteur', 'bingham', 'commissaire']
61	0.0051388785960959854	['yudel', 'weizmann', 'majola', 'thandi', 'boutique', 'nieuwenhuysen', 'hymie', 'muntu', 'yudel savait', 'johannesburg']
32	0.004854377565993271	['lieutenant', 'capitaine', 'cops', 'commandant', 'officier', 'chef', 'sanselme', 'général', 'fantin', 'gouverneur']
198	0.004468718967229395	['quade', 'bossard', 'docteur bossard', 'boland', 'docteur', 'michaël', 'heures demie', 'demie', 'cavendish', 'aveyard']
217	0.00392194933969675	['taplin', 'veysey', 'meurtre', 'siméonidis', 'assassin', 'prétendument', 'raphaël', 'coupable', 'docteur stratton', 'adèle']
131	0.0038717040418562603	['dumire', 'shérif', 'beckford', 'gribben', 'morrington', 'smithtown', 'stringer', 'smiley', 'bernstein', 'découpeur']
106	0.0036980687426818246	['riant', 'chandail', 'retourna', 'fit', 'ciseaux', 'sourit', 'souffla', 'ramassa', 'embrassa', 'rire']
173	0.00364930560701952	['lefleur', 'nims', 'pepperdine', 'black elk', 'elk', 'lindstrom', 'hamlin', 'boggins', 'lampe', 'incendie']
147	0.00364930560701952	['knudsen', 'quade', 'thayer', 'boland', 'silverdale', 'patients', 'chantier naval', 'naval', 'psychologue', 'demanda']
163	0.003475670307845084	['manson', 'piggot', 'betts', 'babcock', 'beckford', 'broadwaters', 'sills', 'véranda', 'phosphore', 'docteur']
118	0.00310105381730869	['skinner', 'demande', 'huncie', 'dis', 'veux', 'muirhead', 'pickering', 'anglaises', 'cloques', 'quelqu']
183	0.003052290681646386	['miroul', 'mcfee', 'lestandi', 'bretonnet', 'table', 'rue', 'préjean', 'ouais savait', 'lathrop', 'latin']
138	0.0030264269516370483	['élèves', 'dodd', 'moss', 'néfar', 'andouillette', 'surveillante', 'classe', 'lacayo', 'école', 'danaëlle']
274	0.0030035275459840815	['librairie champs', 'librairie', 'librairie champs élysées', 'adaptation représentation', 'adaptation représentation réservés', 'reproduction adaptation représentation', 'représentation réservés', 'contrôle cas', 'livre souffre', 'volumes collection']
192	0.0029045191124812877	['whittaker', 'climpson', 'findlater', 'murbles', 'budge', 'wimsey', 'cropper', 'tante', 'crow beach', 'crow']
144	0.0028284100846314606	['beecher', 'heap', 'sukie', 'tabora', 'dogtinder', 'garnel', 'filby', 'yor', 'tribling', 'aérol']
124	0.002730883813306852	['byram', 'accident', 'police', 'suicide', 'suicidée', 'affee', 'whitcomb', 'enquête', 'conduisait', 'amersham']
237	0.0027050200832975145	['séréna', 'lordy', 'laveuglant', 'flox', 'defeckmann', 'kehlweiler', 'butron', 'masters', 'dobel', 'bitchy']
186	0.0026547747854570244	['khamal', 'kroll', 'vorton', 'kleinsmidt', 'kegan', 'inspecteur', 'schulze', 'facteur', 'ponik', 'norsworthy']
153	0.002604529487616535	['toronado', 'fusil', 'joker', 'pouvais', 'teele', 'springfield', 'ramsès', 'regardé', 'revolver', 'salaud']
100	0.0025299026219448933	['howe', 'aveyard', 'constable', 'poulain', 'foote', 'colliers', 'assistant shérif', 'superintendent', 'knep', 'régisseur']
308	0.0025070032162919265	['crimes', 'meurtre', 'planteguerre', 'rochembert', 'meurtres', 'criminel', 'rampez', 'meurtrier', 'crime', 'quim']
279	0.0024826216484607746	['gardella', 'scandura', 'thurston', 'roselli', 'lança', 'lança gardella', 'taire fit', 'gardella faut', 'regard gardella', 'regard']
202	0.002481139486282589	['tuée', 'carnets', 'crowley', 'violences', 'femme réelle', 'bigger', 'merde merde', 'assassinat', 'halsey', 'meurtre']
195	0.0024567579184514373	['malaussène', 'corrençon', 'cercaire', 'dolgorouki', 'zabo', 'majesté', 'stojilkovicz', 'thérèse', 'flic', 'ponthard']
299	0.0024323763506202845	['gueule poisson pané', 'poisson pané', 'gueule poisson', 'pané', 'fermeture éclair', 'couille molle', 'couille', 'flingue', 'spaulding', 'moinillon']
235	0.0024079947827891327	['anelo', 'boule', 'santardi', 'maxmo', 'boule anelo', 'coffre', 'fit boule', 'côté anelo', 'bière', 'musicos']
44	0.002399101809720019	['dollars', 'veux', 'banque', 'millions', 'somme', 'schots', 'payer', 'demande', 'frais', 'leonards']
105	0.0022801582949206305	['papier', 'cagliostro', 'farmer', 'titre', 'audiat', 'titres', 'journal', 'journaux', 'yudel', 'écriture']
36	0.002204049267070803	['walt', 'hôpital', 'police', 'demanda', 'phéronomes', 'triss', 'fit', 'type', 'regarda', 'murmura']
